Owen Tippett	RW1	Metrostars	74
Blake Coleman	LW2	Metrostars	21
Colton Sissons	C2	Metrostars	10
Andrei Kuzmenko	RW2	Metrostars	96
Brandon Saad	LW3	Metrostars	20
Sam Carrick	C3	Metrostars	39
Kasperi Kapanen	RW3	Metrostars	42
Nathan Walker	LW4	Metrostars	26
Rutger McGroarty	C4	Metrostars	3
Christian Fischer	RW4	Metrostars	36
Devon Toews	LD1	Metrostars	7
Cale Makar	RD1	Metrostars	8
Nicolas Hague	LD2	Metrostars	14
Robert Bortuzzo	RD2	Metrostars	41
Olli Maatta	LD3	Metrostars	2
Travis Dermott	RD3	Metrostars	23
Darcy Kuemper	G1	Metrostars	35
Laurent Brossoit	G2	Metrostars	38
Cole Caufield	LW1	Vipers	13
Sean Couturier	C1	Vipers	14
Mitchell Marner	RW1	Vipers	93
Jordan Staal	LW2	Vipers	11
Joe Veleno	C2	Vipers	90
Kaapo Kakko	RW2	Vipers	84
Brett Howden	LW3	Vipers	21
Jack Drury	C3	Vipers	18
Dominik Kubalík	RW3	Vipers	81
Drew O'Connor	LW4	Vipers	10
Hendrix Lapierre	C4	Vipers	29
Zack MacEwen	RW4	Vipers	17
Noah Hanifin	LD1	Vipers	15
Brenden Dillon	RD1	Vipers	5
Marcus Pettersson	LD2	Vipers	28
Justin Barron	RD2	Vipers	20
Simon Edvinsson	LD3	Vipers	77
Kevin Korchinski	RD3	Vipers	55
Igor Shesterkin	G1	Vipers	31
Justus Annunen	G2	Vipers	60
Artemi Panarin	LW1	Lumberjacks	10
Dylan Cozens	C1	Lumberjacks	24
Alex Tuch	RW1	Lumberjacks	89
Quinton Byfield	LW2	Lumberjacks	55
Adam Fantilli	C2	Lumberjacks	19
Reilly Smith	RW2	Lumberjacks	91
Alexander Kerfoot	LW3	Lumberjacks	15
Pierre-Luc Dubois	C3	Lumberjacks	80
Anthony Beauvillier	RW3	Lumberjacks	72
Noah Cates	LW4	Lumberjacks	27
Peyton Krebs	C4	Lumberjacks	18
Marco Kasper	RW4	Lumberjacks	92
Zach Werenski	LD1	Lumberjacks	8
Filip Hronek	RD1	Lumberjacks	17
Philip Broberg	LD2	Lumberjacks	6
Nick Jensen	RD2	Lumberjacks	3
Jonathan Pudas	LD3	Lumberjacks	64
Troy Stecher	RD3	Lumberjacks	51
Jesper Wallstedt	G1	Lumberjacks	30
Tristan Jarry	G2	Lumberjacks	35
Trevor Zegras	LW1	Blizzards	46
Wyatt Johnston	C1	Blizzards	53
Rickard Rakell	RW1	Blizzards	67
Josh Anderson	LW2	Blizzards	17
Kevin Hayes	C2	Blizzards	13
Justin Danforth	RW2	Blizzards	7
Evgenii Dadonov	LW3	Blizzards	63
Curtis Lazar	C3	Blizzards	42
Craig Smith	RW3	Blizzards	15
Isak Rosén	LW4	Blizzards	61
Calum Ritchie	C4	Blizzards	71
Luke Glendening	RW4	Blizzards	11
Roman Josi	LD1	Blizzards	59
Hampus Lindholm	RD1	Blizzards	27
Thomas Harley	LD2	Blizzards	55
Brandt Clarke	RD2	Blizzards	92
Jordan Harris	LD3	Blizzards	22
Tony DeAngelo	RD3	Blizzards	4
